ZONE_min;function;None
Central;A Road;19502.580713062925
Central;B Road;4224.2324159008795
Central;Local Access Road;2872.994689544941
Central;Local Road;29923.56637087173
Central;Minor Road;5687.125243723073
Central;Restricted Local Access Road;4422.27966059783
Central;;665.9229150406114
Inner;A Road;44813.19718377791
Inner;B Road;5354.603241543916
Inner;Local Road;90376.74030405395
Inner;Minor Road;20741.300901708666
Inner;Restricted Local Access Road;21082.903322554655
Inner;;2013.5109473411458
Outer;A Road;51366.998813127524
Outer;B Road;7970.54365792716
Outer;Local Access Road;600.1521615678508
Outer;Local Road;91879.2793047365
Outer;Minor Road;20493.857643537995
Outer;Restricted Local Access Road;65642.40959346548
Outer;;9245.665101893173
